"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Argentina","Male 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","1588042",""
"Argentina","Male 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","1483728",""
"Argentina","Male 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","1357724",""
"Argentina","Male 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","1219520",""
"Argentina","Male 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","1097812",""
"Armenia","Female 0-14 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","296243",""
"Armenia","Female 0-14 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","385642",""
"Armenia","Female 0-14 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","470242",""
"Armenia","Female 0-14 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","530536",""
"Armenia","Female 0-14 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","491763",""
"Armenia","Female 0-17 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","391237",""
"Armenia","Female 0-17 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","478457",""
"Armenia","Female 0-17 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","554481",""
"Armenia","Female 0-17 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","612075",""
"Armenia","Female 0-17 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","577727",""
"Armenia","Female 15-24 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","303883",""
"Armenia","Female 15-24 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","276951",""
"Armenia","Female 15-24 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","245055",""
"Armenia","Female 15-24 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","276549",""
"Armenia","Female 15-24 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","321028",""
"Armenia","Female 15-64 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","1096467",""
"Armenia","Female 15-64 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","1063451",""
"Armenia","Female 15-64 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","1062124",""
"Armenia","Female 15-64 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","1168690",""
"Armenia","Female 15-64 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","1101055",""
"Armenia","Female 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","217990",""
"Armenia","Female 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","183245",""
"Armenia","Female 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","163036",""
